regime,sub_regime,score,threshold,predicted,target,Date,speed_rpm,Current,temp_mot,Anomaly_Details
2,-1,0.07636149254490898,-0.03883385806460286,0,0,2020-12-02 17:31:13.223,7900.279392,1.217867,35.728277,
0,-1,0.04653052239785227,-0.028261093587785634,0,0,2020-12-02 17:31:17.617,7873.219001,1.679357,35.776357,
0,-1,0.03364710602167825,-0.028261093587785634,0,0,2020-12-02 17:31:22.016,7951.204447,1.596607,35.813166,
0,-1,0.04162866221766709,-0.028261093587785634,0,0,2020-12-02 17:31:26.417,7916.534914,1.768473,35.883788,
2,-1,0.07758469449380101,-0.03883385806460286,0,0,2020-12-02 17:31:30.818,7886.095355,1.497944,35.924093,
2,-1,0.07650487933127903,-0.03883385806460286,0,0,2020-12-02 17:31:35.220,7843.316858,1.431108,36.011111,
0,-1,0.03449185356623857,-0.028261093587785634,0,0,2020-12-02 17:31:39.621,7877.757971,1.593425,36.049298,
0,-1,0.03590546456863869,-0.028261093587785634,0,0,2020-12-02 17:31:44.025,7883.194484,1.580694,36.097073,
0,-1,0.0532893614823331,-0.028261093587785634,0,0,2020-12-02 17:31:48.417,7895.42725,1.819396,36.13608,
2,-1,0.07479591760149934,-0.03883385806460286,0,0,2020-12-02 17:31:52.822,7880.717437,1.287887,36.138817,
0,-1,0.04135065433012092,-0.028261093587785634,0,0,2020-12-02 17:31:57.220,7879.923445,1.660261,36.202379,
0,-1,0.04404861636814089,-0.028261093587785634,0,0,2020-12-02 17:32:01.621,7849.817278,1.669809,36.262556,
2,-1,0.0684114201413748,-0.03883385806460286,0,0,2020-12-02 17:32:06.019,7827.312922,1.319713,36.273814,
0,-1,0.0429826906736287,-0.028261093587785634,0,0,2020-12-02 17:32:10.426,7821.498297,1.76529,36.278793,
2,-1,0.07952785165098936,-0.03883385806460286,0,0,2020-12-02 17:32:14.827,7821.036918,1.485213,36.339985,
0,-1,0.04466316698879241,-0.028261093587785634,0,0,2020-12-02 17:32:19.224,7857.151121,1.631617,36.354864,
0,-1,0.04225330168092839,-0.028261093587785634,0,0,2020-12-02 17:32:23.622,7860.947088,1.593425,36.389214,
0,-1,0.05234929418114609,-0.028261093587785634,0,0,2020-12-02 17:32:28.023,7880.81998,1.803482,36.439912,
2,-1,0.07913608799964067,-0.03883385806460286,0,0,2020-12-02 17:32:32.421,7850.07216,1.504309,36.468194,
0,-1,0.0385306016343227,-0.028261093587785634,0,0,2020-12-02 17:32:36.822,7845.658886,1.778021,36.475651,
0,-1,0.041091047868700936,-0.028261093587785634,0,0,2020-12-02 17:32:41.223,7904.863897,1.692088,36.499798,
2,-1,0.08168792547356168,-0.03883385806460286,0,0,2020-12-02 17:32:45.621,7848.399825,1.402463,36.546769,
2,-1,0.06969334277592742,-0.03883385806460286,0,0,2020-12-02 17:32:50.022,7881.979015,1.357906,36.558016,
2,-1,0.0770404378524458,-0.03883385806460286,0,0,2020-12-02 17:32:54.438,7856.206089,1.437473,36.574544,
0,-1,0.03925104568744786,-0.028261093587785634,0,0,2020-12-02 17:32:58.818,7897.330715,1.727098,36.593992,
0,-1,0.04366057674036339,-0.028261093587785634,0,0,2020-12-02 17:33:03.219,7903.882434,1.809848,36.611006,
2,-1,0.08120304532671796,-0.03883385806460286,0,0,2020-12-02 17:33:07.621,7909.452348,1.453386,36.662857,
0,-1,0.04838745990616328,-0.028261093587785634,0,0,2020-12-02 17:33:12.019,7912.865644,1.672992,36.677267,
2,-1,0.08028310676852185,-0.03883385806460286,0,0,2020-12-02 17:33:16.423,7879.779939,1.497944,36.710307,
2,-1,0.06663447145367252,-0.03883385806460286,0,0,2020-12-02 17:33:20.817,7865.191726,1.135117,36.725403,
0,-1,0.043457993641663195,-0.028261093587785634,0,0,2020-12-02 17:33:25.224,7874.95619,1.752559,36.75343,
0,-1,0.05489168352391377,-0.028261093587785634,0,0,2020-12-02 17:33:29.623,7910.122215,1.704819,36.776159,
0,-1,0.04497784043565234,-0.028261093587785634,0,0,2020-12-02 17:33:34.022,7887.041049,1.590242,36.744311,
0,-1,0.0549371699290494,-0.028261093587785634,0,0,2020-12-02 17:33:38.422,7878.067558,1.720732,36.758816,
0,-1,0.05457272058994417,-0.028261093587785634,0,0,2020-12-02 17:33:42.823,7912.140942,1.679357,36.818223,
2,-1,0.036787883790568965,-0.03883385806460286,0,0,2020-12-02 17:33:47.219,7892.527312,0.969618,36.830116,
0,-1,0.040568512825222114,-0.028261093587785634,0,0,2020-12-02 17:33:51.618,7939.24161,1.844857,36.852571,
2,-1,0.05663458183479059,-0.03883385806460286,0,0,2020-12-02 17:33:56.018,7901.27444,1.217867,36.872472,
0,-1,0.045195486616438185,-0.028261093587785634,0,0,2020-12-02 17:34:00.478,7891.434785,1.647531,36.878675,
0,-1,0.05172370109647062,-0.028261093587785634,0,0,2020-12-02 17:34:04.820,7960.539929,1.685723,36.920026,
0,-1,0.0443135925137475,-0.028261093587785634,0,0,2020-12-02 17:34:09.225,7935.438252,1.593425,36.94642,
2,-1,0.06091659037289948,-0.03883385806460286,0,0,2020-12-02 17:34:13.621,7908.859882,1.182858,36.960381,
